query,expected_intent
Comparative analysis of Oracle vs competitors,stock_analysis
Supply chain dynamics in materials sector,sector_analysis
Spreads for municipal bonds in current market,fixed_income_analysis
Tips for job interviews,unclassified
Summary of Oracle's recent report,quarterly_report_summary
Analysis of XOM corporate bonds,fixed_income_analysis
Long-term outlook for AMZN shares,stock_analysis
Show me the fundamentals for AAPL,stock_analysis
Top performers in real estate sector ,sector_analysis
Top performers in communication services sector last year,sector_analysis
Current rates for zero-coupon bonds,fixed_income_analysis
Signs of a toxic workplace,unclassified
Investment potential of Intel stock,stock_analysis
Industry analysis for real estate companies,sector_analysis
Top performers in financial sector Q4,sector_analysis
last year earnings call summary for Tesla,quarterly_report_summary
How is AMD stock performing?,stock_analysis
How is Tesla stock performing?,stock_analysis
Summary of Meta's recent report,quarterly_report_summary
Spreads for commercial paper in current market,fixed_income_analysis
Recent price action for CRM,stock_analysis
DIS stock forecast and price targets,stock_analysis
Cash flow statement for Tesla last year,quarterly_report_summary
Operating margins for TSLA last year,quarterly_report_summary
Top performers in energy sector last 6 months,sector_analysis
Local restaurants with vegan options,unclassified
Competitive landscape in materials industry,sector_analysis
Yield curve for Oracle fixed income,fixed_income_analysis
Balance sheet summary for Exxon,quarterly_report_summary
Investment potential of Salesforce stock,stock_analysis
Top performers in healthcare sector this year,sector_analysis
Career advice for finance professionals,unclassified
Analysis of WMT corporate bonds,fixed_income_analysis
Revenue and profit for AAPL previous,quarterly_report_summary
Competitive landscape in materials industry,sector_analysis
How is Walmart stock performing?,stock_analysis
Cash flow statement for Amazon last year,quarterly_report_summary
Growth projections for healthcare sector,sector_analysis
Cash flow statement for Pfizer Q1,quarterly_report_summary
Key metrics from JNJ's latest earnings,quarterly_report_summary
Analysis of CRM corporate bonds,fixed_income_analysis
How to start a small business,unclassified
AMD debt instrument analysis,fixed_income_analysis
Summary of Walmart's last quarter report,quarterly_report_summary
Valuation metrics for Meta shares,stock_analysis
DIY home renovation tips,unclassified
KO earnings per share last 6 months,quarterly_report_summary
Upcoming concerts in my area,unclassified
Operating margins for AAPL Q4,quarterly_report_summary
Key metrics from DIS's latest earnings,quarterly_report_summary
Emerging trends in financial market,sector_analysis
How is Coca-Cola stock performing?,stock_analysis
Current rates for investment grade debt,fixed_income_analysis
Profitability metrics across energy companies,sector_analysis
Summary of JPMorgan's recent report,quarterly_report_summary
Summary of Netflix's recent report,quarterly_report_summary
Revenue and profit for AMD 2023,quarterly_report_summary
Healthy meal prep ideas,unclassified
Best books for personal development,unclassified
Valuation metrics for NVIDIA shares,stock_analysis
Supply chain dynamics in utilities sector,sector_analysis
Analyze Meta stock valuation,stock_analysis
Growth projections for industrials sector,sector_analysis
Default probabilities for AMD debt,fixed_income_analysis
Valuation metrics for Meta shares,stock_analysis
What is the meaning of life?,unclassified
Analysis of KO corporate bonds,fixed_income_analysis
